id;protected_farm_id;protected_farm_name;protected_farm_type;protected_farm_sub_type;protected_farm_description
1;f11d1e09-b56b-4f4e-8ea3-d7f36bfe3b58;Representative Implementation viral;PFNL_Protected;Tera;Eritrea Walk exploit
2;bd68588d-963e-485e-bc19-016c11f6e4e9;Rial Franc;Lighting;Pico;knowledge Gloves
3;2298b9f6-179e-4dca-b145-b129df9918ec;Barbados;PFAL_Protected;Femto;Hungary
4;8c45f8cb-618e-4822-bf59-337e0e91548f;IB Togo Outdoors;PFNL_Protected;Tera;Soft transmitter
5;1593782c-292f-4467-a7e5-e3fddbe50de4;Clothing RSS user-centric;Natural;Micro;incentivize model
6;4462f1e4-4bb2-42a1-b331-848d147642fa;Intranet;Net;Femto;non-volatile Infrastructure Re-contextualized
7;89d16874-8627-4a19-be67-ab72c21a3b87;clear-thinking Applications sensor;NVPH_Naturally;Nano;Arkansas deposit
8;45234fa6-4e30-43e3-bcdd-57527a626034;Tuna;Net;Pico;eco-centric Universal Administrator
9;7c26c53b-3e1a-46c3-a12b-be6babb96119;Corporate SSL Soft;PFNL_Protected;Giga;Junction synergies Hampshire
10;1c201873-d867-44fa-9a70-f56b2cd83ec6;olive strategy Account;Farming;Tera;loyalty reintermediate
