id;zone_id;zone_type;manufacturer;protected_fid
1;2d885730-e7d9-4ce5-b9b2-06456f0be070;Bucket;Reactive Mouse;a264585b-d935-478c-88ed-674e34834cf3
2;54d42279-a9b0-4afb-97dd-5d691f11bff1;Dutch;e-services deposit networks;f46ede75-0b84-4d0e-abc9-d4c6b3dd377d
3;113bc2bb-585f-421e-a3b0-1f6849b2868d;Table_Multilayer;Afghani Awesome protocol;4e392aae-8517-4713-bb43-a940ec3ebdea
4;4d0466ad-a4b7-4ff3-a568-34d7859b53fd;Vertical;Chair;0d444a69-ce16-432f-8889-92cf8e25c60f
5;8a4f9322-f2e4-4b37-b691-9311424b1b88;Dutch;Grocery;62ff7d06-41ec-4e4c-a177-dacb507850d5
6;7dbe5320-21f5-4a4e-9254-d000f49f8063;And;Future;bd4d9f7a-a87b-4409-a76e-3cfa40a23805
7;c38d6e2c-ed27-4dda-bfff-f4582899dcb1;Bench;cyan;f9d56db2-68ea-4186-a2fe-1ca86d4d4593
8;5e66bfcb-7c0f-4de4-ab30-96047e111e18;Table_Multilayer;CSS Associate;70c4e008-3cc9-4cd7-bdc5-634566aa039c
9;a66648f4-fc2b-41a8-b943-963edfff17e4;Rack;Virginia Sausages;817fcd1f-daf6-4999-8988-421392694bf9
10;550dfe59-6746-4213-855b-c17b513de769;Bucket;New;e1a890de-c4e9-47a2-ab27-5501f223e237
